                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.93763,                0.53169,                0.91119,                 0.9605,                0.95141,                0.97501,                0.76102,                0.74829,                0.42269,                0.88142,               0.006535,               0.006535,               0.006535
                     38,                0.92539,                0.52527,                0.90695,                0.97125,                0.93819,                0.97624,                0.76447,                0.73417,                0.41754,                0.87763,               0.006436,               0.006436,               0.006436
                     39,                0.91966,                0.52247,                0.90459,                0.95273,                 0.9541,                0.97749,                0.75959,                0.73586,                0.41651,                0.87769,               0.006337,               0.006337,               0.006337
                     40,                 0.9149,                0.51724,                0.90386,                0.95442,                 0.9533,                0.97625,                0.76705,                0.73658,                 0.4127,                 0.8745,               0.006238,               0.006238,               0.006238
                     41,                0.90754,                0.51571,                0.90192,                0.96976,                0.94822,                0.97558,                0.76471,                0.73298,                0.40908,                0.87528,               0.006139,               0.006139,               0.006139
                     42,                 0.9038,                0.51027,                0.90173,                0.96391,                0.94778,                0.97758,                0.76919,                0.72935,                0.40442,                0.87784,                0.00604,                0.00604,                0.00604
                     43,                0.90874,                0.51113,                0.90262,                0.97088,                0.94203,                0.97591,                0.76853,                0.72445,                0.40701,                0.87416,               0.005941,               0.005941,               0.005941
                     44,                0.90015,                 0.5056,                0.90075,                0.96229,                0.95611,                0.97677,                0.77319,                 0.7153,                0.40184,                0.87093,               0.005842,               0.005842,               0.005842
                     45,                0.89209,                0.50099,                0.89697,                 0.9614,                0.95432,                 0.9795,                0.77729,                0.70923,                  0.398,                0.86962,               0.005743,               0.005743,               0.005743
                     46,                0.89889,                 0.5077,                0.89842,                0.95867,                0.95616,                0.98006,                0.77631,                0.70793,                0.39729,                0.86852,               0.005644,               0.005644,               0.005644
                     47,                0.88195,                0.49868,                0.89551,                 0.9621,                0.96349,                0.97998,                0.77767,                0.70619,                0.39951,                0.86717,               0.005545,               0.005545,               0.005545
                     48,                0.88066,                0.49604,                0.89469,                0.97326,                0.94957,                0.98075,                0.77939,                0.70054,                0.39396,                0.86716,               0.005446,               0.005446,               0.005446
