                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.064,                0.66914,                0.97552,                0.94756,                 0.9177,                0.95991,                0.70954,                0.84658,                0.52801,                0.92795,               0.006634,               0.006634,               0.006634
                     37,                 1.0632,                  0.665,                0.97611,                0.94509,                0.92391,                0.95858,                0.71274,                0.82854,                0.51388,                0.91799,               0.006535,               0.006535,               0.006535
                     38,                 1.0559,                0.65792,                 0.9752,                0.96484,                0.91369,                0.95813,                0.71669,                0.82326,                0.51994,                 0.9182,               0.006436,               0.006436,               0.006436
                     39,                  1.044,                0.64752,                0.96888,                0.96101,                0.90626,                0.95715,                0.71762,                0.81524,                0.50902,                0.91948,               0.006337,               0.006337,               0.006337
                     40,                 1.0428,                 0.6501,                0.96863,                0.95973,                0.90006,                0.95964,                0.72346,                0.81097,                0.50372,                0.91626,               0.006238,               0.006238,               0.006238
                     41,                 1.0338,                0.64908,                0.96679,                0.95944,                0.91186,                 0.9602,                0.72558,                0.79973,                  0.497,                0.91223,               0.006139,               0.006139,               0.006139
                     42,                 1.0278,                0.63328,                0.96449,                0.96716,                0.90888,                0.95909,                0.72149,                0.79763,                0.49706,                0.91371,                0.00604,                0.00604,                0.00604
                     43,                 1.0266,                0.63572,                0.96482,                0.95992,                0.91368,                0.95751,                0.72486,                0.80205,                0.48877,                0.91528,               0.005941,               0.005941,               0.005941
                     44,                 1.0232,                0.62821,                0.96445,                0.97017,                0.90472,                0.96005,                0.73046,                0.79273,                0.48481,                0.91134,               0.005842,               0.005842,               0.005842
                     45,                 1.0088,                0.62204,                0.95589,                0.96233,                0.91357,                0.96078,                0.73011,                0.79243,                0.48496,                0.91123,               0.005743,               0.005743,               0.005743
                     46,                  1.013,                0.62341,                0.95777,                0.95485,                0.92806,                0.96141,                0.73762,                0.77875,                0.47907,                0.90506,               0.005644,               0.005644,               0.005644
                     47,                 1.0028,                0.61418,                0.95671,                0.96552,                0.92257,                0.96227,                0.73859,                0.77853,                0.48546,                0.90579,               0.005545,               0.005545,               0.005545
                     48,                 1.0016,                0.61567,                0.95487,                0.96309,                0.92681,                0.96417,                 0.7343,                0.78122,                 0.4756,                0.90709,               0.005446,               0.005446,               0.005446
                     49,                0.99596,                0.61072,                  0.953,                0.96063,                0.92756,                0.96581,                0.74447,                0.76204,                0.46758,                0.90093,               0.005347,               0.005347,               0.005347
                     50,                0.99033,                0.60513,                 0.9508,                0.96461,                0.92726,                0.96615,                0.74416,                0.76448,                0.46322,                0.90264,               0.005248,               0.005248,               0.005248
                     51,                0.98015,                0.59583,                0.95026,                0.96723,                 0.9301,                0.96742,                 0.7469,                0.76084,                0.46224,                0.89873,               0.005149,               0.005149,               0.005149
                     52,                0.97189,                0.59445,                0.94591,                0.96815,                0.93404,                0.96771,                0.74713,                0.76084,                0.45962,                0.89834,                0.00505,                0.00505,                0.00505
                     53,                0.97008,                0.58996,                0.94531,                0.96819,                0.93262,                0.96839,                0.74838,                0.75939,                0.45643,                0.89831,               0.004951,               0.004951,               0.004951
                     54,                0.96496,                0.58552,                0.94321,                0.95817,                0.93972,                0.96754,                0.75134,                0.75643,                0.45708,                0.89544,               0.004852,               0.004852,               0.004852
                     55,                0.95752,                0.58231,                 0.9424,                0.96773,                 0.9316,                0.96938,                0.75498,                0.75277,                0.45659,                 0.8954,               0.004753,               0.004753,               0.004753
                     56,                0.96649,                0.58488,                0.94593,                0.96346,                0.93452,                0.97105,                0.75534,                0.75235,                0.45249,                0.89393,               0.004654,               0.004654,               0.004654
                     57,                0.95271,                0.57537,                0.94141,                0.97479,                0.92566,                 0.9704,                0.75689,                0.75071,                0.44966,                0.89269,               0.004555,               0.004555,               0.004555
                     58,                0.95167,                0.57776,                0.94262,                0.97096,                0.92884,                0.97089,                0.75643,                0.74938,                0.44556,                0.89295,               0.004456,               0.004456,               0.004456
                     59,                0.94524,                0.57221,                0.93831,                0.96512,                0.93369,                0.97197,                0.75664,                0.74539,                0.44269,                 0.8927,               0.004357,               0.004357,               0.004357
                     60,                0.94534,                0.56796,                0.93943,                0.97142,                0.93235,                0.97317,                0.75959,                0.74333,                0.44327,                0.89286,               0.004258,               0.004258,               0.004258
                     61,                0.93446,                0.56613,                0.93549,                0.96865,                 0.9398,                 0.9742,                0.76136,                0.74045,                0.44547,                0.89165,               0.004159,               0.004159,               0.004159
                     62,                0.93191,                0.56202,                 0.9367,                0.96315,                0.94556,                0.97307,                0.75997,                0.73704,                0.44208,                0.89084,                0.00406,                0.00406,                0.00406
                     63,                0.92653,                0.55988,                0.93267,                0.96276,                0.94591,                0.97321,                0.75871,                0.73701,                0.43672,                0.89108,               0.003961,               0.003961,               0.003961
                     64,                0.91852,                0.55245,                0.92924,                0.96179,                0.94686,                0.97375,                0.76421,                 0.7338,                0.43548,                0.88943,               0.003862,               0.003862,               0.003862
                     65,                0.91911,                0.54874,                0.93286,                0.96537,                0.94656,                0.97389,                0.76578,                0.73221,                0.43339,                0.88877,               0.003763,               0.003763,               0.003763
                     66,                0.91113,                0.54614,                0.93008,                0.96632,                0.94575,                0.97333,                0.76814,                0.73054,                0.43244,                0.88896,               0.003664,               0.003664,               0.003664
                     67,                0.90406,                0.54415,                0.92557,                0.96795,                 0.9422,                0.97358,                0.76841,                0.72804,                 0.4289,                 0.8879,               0.003565,               0.003565,               0.003565
                     68,                 0.9045,                0.54307,                0.92568,                0.97396,                0.94319,                0.97451,                0.76787,                0.72673,                0.42568,                0.88778,               0.003466,               0.003466,               0.003466
                     69,                0.89358,                0.53571,                 0.9234,                0.97343,                0.94735,                 0.9747,                0.76593,                 0.7242,                0.42323,                0.88704,               0.003367,               0.003367,               0.003367
                     70,                 0.8877,                0.52796,                0.92017,                 0.9708,                 0.9498,                0.97459,                0.76659,                0.72186,                0.41995,                0.88622,               0.003268,               0.003268,               0.003268
                     71,                0.88296,                0.52868,                0.92003,                 0.9742,                0.94893,                0.97507,                0.76636,                0.71833,                 0.4174,                0.88466,               0.003169,               0.003169,               0.003169
                     72,                0.88303,                0.52859,                0.92156,                0.97477,                0.94984,                0.97567,                0.76844,                0.71525,                0.41559,                0.88314,                0.00307,                0.00307,                0.00307
                     73,                0.88628,                0.52498,                0.91965,                 0.9774,                0.94907,                0.97584,                0.76975,                0.71194,                0.41467,                0.88252,               0.002971,               0.002971,               0.002971
                     74,                0.87839,                0.51869,                0.91901,                0.97489,                0.94991,                0.97612,                0.76968,                0.70888,                0.41395,                0.88194,               0.002872,               0.002872,               0.002872
                     75,                0.86827,                0.51372,                0.91543,                0.97621,                0.95047,                0.97628,                0.77098,                0.70669,                0.41405,                0.88123,               0.002773,               0.002773,               0.002773
